step,loss,learning_rate
10,1.9804,0.00095
20,1.9759,0.0009000000000000001
30,2.0902,0.00085
40,2.0292,0.0008
50,2.161,0.00075
60,2.0758,0.0007
70,1.9084,0.0006500000000000001
80,2.1464,0.0006
90,1.8517,0.00055
100,2.0755,0.0005
110,2.1129,0.00045000000000000004
120,2.091,0.0004
130,2.0306,0.00035
140,1.887,0.0003
150,1.9353,0.00025
160,2.0463,0.0002
170,1.913,0.00015
180,2.0582,0.0001
190,1.9696,5e-05
200,2.0928,0.0
200,,
