step,loss,learning_rate
10,1.888,0.00095
20,1.7929,0.0009000000000000001
30,1.8421,0.00085
40,1.8068,0.0008
50,1.8605,0.00075
60,1.7503,0.0007
70,1.6285,0.0006500000000000001
80,1.761,0.0006
90,1.5838,0.00055
100,1.7057,0.0005
110,1.7661,0.00045000000000000004
120,1.6947,0.0004
130,1.6797,0.00035
140,1.581,0.0003
150,1.6036,0.00025
160,1.6334,0.0002
170,1.5784,0.00015
180,1.6767,0.0001
190,1.6528,5e-05
200,1.7312,0.0
200,,
