method,avg_acc,BWT
replay_proj,0.9405951102574667,-0.0256413867076238
replay,0.9385225375493368,-0.030225351452827454
replay_ewc,0.9374656081199646,-0.031238287687301636
replay_kd,0.914070725440979,0.1555591250459353
replay_ewc_kd,0.9140389760335287,0.1557484269142151
kd,0.7101004719734192,-0.1678035631775856
baseline,0.6846489806969961,-0.3584350099166234
proj,0.6805391013622284,-0.3650205582380295
ewc,0.6771409412225088,-0.3660947134097417
ewc_kd,0.5180254007379214,-0.3108863780895869
