scenario,method,avg_acc_mean,avg_acc_std,avg_acc_count,BWT_mean,BWT_std,BWT_count
CIL,baseline,0.1906202733516693,,1,-0.9912570118904114,,1
CIL,ewc,0.19435200095176697,,1,-0.9893015623092651,,1
CIL,ewc_kd,0.4728868007659912,,1,-0.30610519647598267,,1
CIL,kd,0.4619014859199524,,1,-0.3901440501213074,,1
CIL,proj,0.19334343075752258,,1,-0.9889233112335205,,1
CIL,replay,0.8932210206985474,,1,-0.09350952506065369,,1
CIL,replay_ewc,0.8958290219306946,,1,-0.08835265040397644,,1
CIL,replay_ewc_kd,0.8736029863357544,,1,0.36448511481285095,,1
CIL,replay_kd,0.866184413433075,,1,0.3463169038295746,,1
CIL,replay_proj,0.9000113606452942,,1,-0.0840902030467987,,1
DIL,baseline,0.8797400593757629,,1,-0.07859998941421509,,1
DIL,ewc,0.8529800176620483,,1,-0.10539999604225159,,1
DIL,ewc_kd,0.09799999743700027,,1,-0.6220000386238098,,1
DIL,kd,0.6842399835586548,,1,-0.1090250089764595,,1
DIL,proj,0.8665601015090942,,1,-0.09935000538825989,,1
DIL,replay,0.9584599733352661,,1,0.01087498664855957,,1
DIL,replay_ewc,0.9541000127792358,,1,0.0038250088691711426,,1
DIL,replay_ewc_kd,0.9132599830627441,,1,0.12025000154972076,,1
DIL,replay_kd,0.9089199900627136,,1,0.12217500060796738,,1
DIL,replay_proj,0.9534799456596375,,1,0.005874991416931152,,1
TIL,baseline,0.9835866093635559,,1,-0.0054480284452438354,,1
TIL,ewc,0.9840908050537109,,1,-0.003582581877708435,,1
TIL,ewc_kd,0.9831894040107727,,1,-0.004553899168968201,,1
TIL,kd,0.9841599464416504,,1,-0.004241630434989929,,1
TIL,proj,0.9817137718200684,,1,-0.006788358092308044,,1
TIL,replay,0.9638866186141968,,1,-0.008041515946388245,,1
TIL,replay_ewc,0.9624677896499634,,1,-0.00918722152709961,,1
TIL,replay_ewc_kd,0.9552539587020874,,1,-0.017489835619926453,,1
TIL,replay_kd,0.9671077728271484,,1,-0.001814529299736023,,1
TIL,replay_proj,0.9682940244674683,,1,0.0012910515069961548,,1
