real_data,pre_data
0,0.709248837
50,0.709248837
0,0.709248837
50,0.709248837
0,0.709248837
100,0.709248837
0,0.709248837
100,0.709248837
0,0.709248837
0,0.709248837
0,0.709248837
0,0.034359738
0,0.034359738
0,0.337567762
0,0.337567762
0,0.337567762
0,0.337567762
100,0.337567762
0,0.034359738
0,0.034359738
0,0.034359738
0,0.034359738
0,0.034359738
0,0.034359738
0,0.034359738
100,0.034359738
0,0.034359738
50,0.034359738
0,0.034359738
0,0.034359738
0,0.034359738
100,0.034359738
0,0.034359738
50,0.034359738
0,0.034359738
100,0.034359738
0,0.034359738
100,0
0,0
0,0
0,0
50,0
0,0
100,0
0,0
100,0
0,0
100,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.323458921
0,0.323458921
0,0.323458921
0,0
0,0
0,0
0,0
0,0
0,0
100,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
50,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
100,0
0,0
100,0
0,0
0,0
0,0
0,0
0,0
100,0
0,0
100,0
0,0
50,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0.323458921
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0.010320255
0,0.010320255
0,0
0,0.010320255
0,0.010320255
0,0.010320255
0,0.010320255
0,0
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0.010320255
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0
0,0
0,0
0,0.010320255
0,0.010320255
0,0.010320255
0,0.010320255
0,0
0,0.333779176
0,0.323458921
0,0.323458921
0,0.323458921
0,0
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0
0,0
0,0
0,0
0,0
0,0.010320255
0,0
0,0
0,0
0,0
