step,loss,learning_rate
10,1.8267,0.00019
20,1.6642,0.00018
30,1.6306,0.00017
40,1.5908,0.00016
50,1.5774,0.00015000000000000001
60,1.4122,0.00014
70,1.3654,0.00013000000000000002
80,1.4042,0.00012
90,1.3331,0.00011000000000000002
100,1.3842,0.0001
110,1.4658,9e-05
120,1.3723,8e-05
130,1.3677,7e-05
140,1.3101,6e-05
150,1.3134,5e-05
160,1.3033,4e-05
170,1.2912,3e-05
180,1.3536,2e-05
190,1.3695,1e-05
200,1.4219,0.0
200,,
