step,loss,learning_rate
10,2.1276,0.00095
20,2.0859,0.0009000000000000001
30,2.1225,0.00085
40,2.0214,0.0008
50,2.0897,0.00075
60,1.9583,0.0007
70,1.8032,0.0006500000000000001
80,1.9631,0.0006
90,1.7232,0.00055
100,1.8688,0.0005
110,1.9211,0.00045000000000000004
120,1.8814,0.0004
130,1.838,0.00035
140,1.6931,0.0003
150,1.7403,0.00025
160,1.7671,0.0002
170,1.6893,0.00015
180,1.8061,0.0001
190,1.7553,5e-05
200,1.8377,0.0
200,,
