step,loss,learning_rate
10,1.9819,0.00019
20,1.9495,0.00018
30,1.9887,0.00017
40,1.9219,0.00016
50,2.0098,0.00015000000000000001
60,1.9032,0.00014
70,1.7422,0.00013000000000000002
80,1.921,0.00012
90,1.6793,0.00011000000000000002
100,1.8373,0.0001
110,1.8761,9e-05
120,1.8253,8e-05
130,1.7802,7e-05
140,1.6704,6e-05
150,1.6979,5e-05
160,1.7502,4e-05
170,1.6737,3e-05
180,1.7799,2e-05
190,1.7369,1e-05
200,1.8293,0.0
200,,
